revGrowth,EPS,GrossMargin,Class
219.8,120,242.6,0
197,1480,356.1,0
23,1290,203.8,0
483,-1080,532.9,0
-260.8,-1830,86.6,0
26.2,-80,397.1,0
21.2,7810,61.9,1
254.1,2400,295.5,0
-69.3,5330.5,222.2,1
-187.5,780,142.6,0
11.3,-2460,526.2,0
-369.6,-103.8,89.8,1
71.3,2440,798.2,0
-9.4,580,750,0
209,600,291,0
1371.9,1670,783.4,1
37.4,230,357.5,0
902.9,1080,332.4,0
164.7,-60,299.5,0
-159.2,420,796.7,0
79,720,499.5,0
-136.3,368.6,242.2,0
142,450,594.9,1
-70.9,-104.3,326.1,0
-249,130,351.2,0
167.9,-650,76.5,0
-32,390,373.5,0
-44,-1260,75.3,0
107.8,2120,87.6,0
4.8,710,117.2,0
-4.1,-1690,155.7,0
-133,-47520,262.6,0
-12.9,20,186.3,0
-82.9,-1020,-182,0
-68.9,-950,134,0
-53.7,307.9,120.8,0
45.7,-1400,197.7,0
-49.9,700,345.5,0
-108.9,1340,173.1,0
43.2,1820,162.7,0
-50.7,-140,225.2,0
28.7,960,102.2,0
36.2,2400,294,1
-160.8,542.2,178.5,0
32688.8,10,288.4,0
-122.2,560,498.1,0
0,-900,0,0
327.8,1310,104.5,0
308.9,50,170.1,0
187.6,680,110.3,0
-487.9,1150,296,0
-147.8,-11590,-7.3,0
44.9,4030,237.6,1
45,1330,165.7,0
-76.8,581.1,131.8,0
63.7,-550,114.1,0
-243.3,3200,264.9,0
-174.2,-29.7,281.1,0
605.8,2260,353.8,0
-133.7,5430,374.9,0
35.1,8030,146.2,1
80.7,1560,196.2,1
-62.3,2210,211.4,1
-72.1,-530,91.5,1
-189.6,1020,425.3,0
65.9,4790,203.2,0
-68.5,3531,288.6,0
18.9,5030,233.1,0
372.2,2730,176.6,1
-64.7,990,256.5,0
-92.1,2690,212.7,0
-2,-1440,75.6,0
-99.8,404.5,266,0
101.5,120,340.3,1
157.7,430,470.4,0
0,-94.7,0,0
4.9,3040,247.7,0
43.1,4770,387.4,0
53.9,2600,1000,0
21.7,-1350,-104.8,0
55.3,3060,197.7,0
-23.2,-520,122.9,0
0,-130,0,1
1159.8,3090,415.4,0
91.7,2030,142.2,0
-1000,-290,0,0
-85.8,900,289.4,0
-9.8,1520,337.4,1
40.9,2300,371.6,0
-27.8,1610,509.2,0
83.7,2420,225,1
-425.9,3670,377.9,1
189.1,710,224.9,1
-14.8,-1050,65.6,0
-96.3,-3740,119.2,0
-133.8,-1343.8,228.4,0
22.2,607.6,193.5,0
21.4,1690,315.2,0
-6.6,1920,185.6,1
398.1,2530,206.4,0
49.7,1550,164.1,0
-55.9,100,251.3,0
77.5,4010,462.3,1
-85.2,780,198.3,0
36.9,7600,435.6,0
212.4,1010,120.1,0
103.5,710,835.2,0
28.1,1000,253.4,0
-152.7,-300,180.7,0
-288.5,-740,73,0
4.8,-200,186.1,0
266.5,120,346.3,0
-88,-3600,10.7,0
-280.9,-4410,353.4,0
92.7,9000,464,0
718.1,-1570,120.6,0
31.9,6650,209.8,0
-18,310,113,0
-88.9,348.8,230.7,0
0,-250,0,0
-76.9,955.2,290,1
220.3,130,102.4,0
76.7,190,222.6,1
64,4370,131.7,0
73,2200,428.6,0
135.4,6450,328.6,0
45.9,5090,441,1
-216.2,170,383.4,1
-70.4,2700,345.2,1
-286.5,-270,204.4,0
174.5,5090,298.4,0
176.5,1520,185.3,1
-177.7,500,426.3,0
25.4,4660,269.1,0
-87.3,-1830,193.4,0
41.7,-2630,162.4,1
-182.6,-2500,332.9,0
-30.2,250,201.9,0
-47.7,70,192.7,0
2853.6,-70,391.5,0
-292.8,860,132,0
152.4,1340,170.9,1
128,-5100,106.2,0
-45.5,-2930,239.1,0
254.8,2250,423.9,0
123.9,910,119.3,0
71.2,250,219.3,1
-77.3,1040,336.5,0
27.8,2940,275.5,1
49,1600,129.9,0
79.7,1820,178.5,0
-85,750,233.6,0
8.7,1716.6,112.6,0
-153.8,6120,226.6,0
-296.9,-1400,-6.7,0
61.6,-1260,144.4,1
0,-232.4,0,1
-34.3,2060,182.7,0
-40.6,600,246.5,0
0,-230,0,0
0,-284,0,0
0,-80,0,0
76.9,957,122.3,1
0,-100,0,1
17.1,860,184.6,0
45.2,4020,168.3,1
-46.5,860,211.7,0
-180,960,932.9,0
694.2,2680,252.4,0
143.5,640,358,0
-76.9,-206.5,-113.3,0
199.3,-200,270.4,1
52.4,450,232.7,0
51.9,-1580,135.9,0
101.7,980,214.2,1
109.6,810,303.8,1
0,140,0,0
14.4,4310,96.5,0
363.2,370,222.2,0
-5.9,2960,223.4,0
73,790,219.7,1
-82.5,280,440.8,0
170,350,178.8,0
-25.7,365,359.4,0
24.1,18380,284.9,0
605.7,1740,266.3,0
226.1,640,150.2,0
0,-264000,0,0
77.8,-214200,714,0
30.5,-850,203.1,0
69.8,330,315.1,0
-24.1,160,233.5,0
40.9,-110,131.3,0
-6.1,1720,176.9,0
64.4,0,230.6,1
-333.3,-50,1000,0
-20.1,9420,783.1,0
82.6,-232.4,14.9,0
87.7,150,366.3,0
122,-1880,100.6,0
24.7,2510,129.5,1
39.2,2890,519.2,1
74.2,4090,203.4,1
77.2,390,335.8,1
-75.7,-60,-211.2,0
173.5,3450,314.3,1
0,-40,0,0
-231.7,1220,193,1
50,4270,356.7,0
-978,-410,-6042.6,0
-153.5,400,346.5,1
192.2,460,336.3,0
81.7,-2320,-33.1,0
220.4,-240,330.8,0
189.4,-5370,182.8,0
-59.2,553.7,417.2,0
-40,460,280.9,1
85,190,107.8,0
100.8,-15600,198.9,0
-1000,-197.9,0,0
5891.1,68.8,409.6,0
112.3,-11890,100.6,1
76.1,9720,390.7,1
-803.4,-279.3,209.6,0
51.8,2230,252.3,0
-99.9,-650,297.5,0
-336.8,-206.5,356.8,0
-148.8,250,60.8,0
6.7,30,323.1,0
2437,-3067000,-258.8,0
0,-120,0,0
567.4,340,296.4,0
-716.9,-370,167.9,0
57.1,320,362.5,0
-140.9,315,197.9,0
130.6,220,339,1
-69.2,4320,68.8,0
0,-34.4,0,0
62.8,1270,224,1
0,-2000,0,0
237.3,2820,450.2,1
29236.6,-14080,8.3,0
-26.1,496.4,49.8,0
0,-170,0,0
0,-18.4,0,0
-22.6,-30,-31.5,0
137.1,580,155.8,0
120.2,3470,245.5,0
0,-17.2,0,0
-258.9,-28800,470.7,0
-38.4,1440,806.9,1
-30.9,1210,752.4,1
-101.3,-230,1000,1
1221.9,7950,847.8,1
62.3,1110,778.3,0
-40.8,4120,603,0
42.3,5800,694,1
33.2,-90,700.5,1
30,1500,544.7,1
57.8,2030,282.3,1
235.7,130,687.2,0
25,3060,745.2,1
99.4,3980,182,1
65.2,5780,253,1
524.4,1165,115,1
78.3,7970,334.3,1
184.6,-510,250,1
181.2,2490,949.7,1
399.7,12420,879.3,0
-183.4,1785,681.7,1
-2.1,3580,545.4,1
117.3,2490,457,0
-9.6,2280,547.4,1
4644.5,60,1000,0
685.5,-830,1000,1
1176.4,-5290,749.5,0
440,3320,922.1,1
553.2,-3760,1000,0
153.8,-1040,1000,1
120.5,-4910,482.7,0
-663.1,-2220,1000,0
74.3,6800,779.6,1
851.4,110,497.7,0
-14.3,1990,284.1,0
324.9,-1010,211.2,0
48.7,6130,509.2,1
15.4,60,492.2,1
40.1,9310,230.4,1
10.8,4260,734.1,0
465.9,-7400,1000,1
714.1,-34170,306.7,0
620,-300,680.2,1
-151.3,2230,748.5,1
84.8,2765,280.7,1
454,820,846.5,0
497.5,120,1000,0
7315.2,-1300,465.9,0
-56,-410,473.2,1
138.7,4610,427.4,0
796.9,-7420,635.5,1
80,4300,379.6,0
-521.1,-3140,894.9,1
347.7,-420,857.8,1
39.5,1650,488.1,1
-167.3,1020,480.2,0
28.7,490,779.9,1
-296.2,3700,532.3,1
-848.4,-150,920.9,0
2371.9,-930,1000,1
273.9,2040,1000,0
-19.5,-3450,1000,1
-40.7,1400,451.5,1
113.6,5520,1000,1
408.2,1510,1000,1
17.4,4210,676.6,0
-132.4,-49800,1000,0
1025.6,-37870,-430.1,1
72,-4850,1000,0
366.1,-920,836.8,1
0,-2870,0,1
712.3,-360,755.6,1
-1000,-1840,0,1
-198.7,-1340,918.6,1
3012,-3150,734.8,1
0,-8040,0,1
290.2,4760,443.6,1
-895.2,-950,1000,1
-545.8,-2800,790.1,0
32.9,500,643.4,1
0,-4720,1000,0
-292.8,-370,1000,1
108.9,2020,903,0
538.3,6060,836.7,0
40.4,3830,376.3,1
374.7,-560,698.3,1
900.7,-390,1000,0
124.4,5510,60.8,0
359.4,1210,24.9,1
