Revenue Growth,EPS,Gross Margin,priceEarningsRatio,Class
0.1115,2.56,1,13.3008,1
0.032,0.66,0.4847,23.303,1
0.1289,4.57,0.6173,10.2691,1
0.4955,12.27,0.5887,4.2999,1
0.0285,-2.62,0.2151,0,1
0.0446,2.64,1,9.3333,1
0.1586,12.01,0.3834,18.9226,1
0.1428,2.15,0.6525,46.5163,1
0.0637,0.26,0.5999,21.9615,1
0.1233,3.3,0.1825,7.3152,1
0.0793,0.1122,0.3391,42.959,0
0.7237,0.44,0.5017,15.4318,1
0.0227,0.93,0.0911,8.2258,1
0.2326,0.34,0.3779,54.2941,1
0.4309,-0.97,0.3233,0,1
0.3735,7.65,0.8325,17.1359,1
-0.0139,4.31,1,10.6914,1
-0.043,-0.01,0.3423,0,1
0.0636,2.85,0.5349,10.014,1
0.0057,6.69,0.8961,7.7818,1
0.0768,1.32,0.3955,9.9924,1
0.057,4.81,1,8.2432,1
0.1213,0.59,0.1331,3.8136,1
0.0827,9.04,1,10.7987,1
0.0421,0.87,0.7953,53.7011,1
0.0596,1.19,0.4384,60.3361,1
0.0273,3.75,0.4848,20.8347,1
0.3056,0.25,0.3635,6.36,0
-0.1691,0.6082,1,13.551,1
0.021,1.9,0.7903,22.9737,0
0.2209,-0.2518,0.1428,0,1
-0.0667,-0.069,0.3743,0,0
0.2452,1.6,0.6828,17.9625,1
0.1821,29.33,0.5148,7.5039,1
0.1868,3.27,0.4531,9.5168,1
0.0532,0.02,0.6642,196.5,1
0.1876,4.88,0.3493,13.9734,1
0.0159,-3.39,0.5469,0,1
0.1099,0.4657,0.2019,11.7243,1
0.0276,0.02,0.6204,2108.5,1
0.0841,7.93,1,12.0202,1
0.0859,3.01,0.7098,17.2691,1
0.1226,4.43,0.8462,34.0384,1
-0.0728,-0.02,0.5008,0,0
0.0009,-0.15,1,0,1
0.0252,1.73,1,8.5434,1
0.0325,1.55,1,8.6323,1
0.0635,2.11,0.2201,13.4929,1
0.1637,1.89,0.1244,14.0635,0
0.7238,3.9646,0.5723,44.799,1
0.3813,1.3,0.7847,11.0308,0
-0.1524,4.2,0.7807,14.8929,1
0.01,5.61,0.0959,5.9626,1
0.1356,1.79,0.2782,5.7598,1
0.2493,0.5,0.7369,227.82,1
0.0688,2.38,0.6644,19.5672,1
0.4895,-0.09,0.3953,0,1
0.2377,7.44,0.1714,6.9637,1
0.2057,0.93,0.4555,3.6667,0
0.0554,4.09,0.3269,24.8166,1
-0.061,17.98,0.222,2.1691,1
-0.041,0.33,0.7671,7.0909,1
0.078,1.54,0.1322,23.4286,1
0.0661,0.81,0.0627,19.7407,1
0.0234,3.52,0.3593,10.7955,0
0.1608,3.67,0.7644,25.1199,1
0.0077,3.69,0.3453,11.5122,1
0.0383,3.76,0.5758,14.9521,1
-0.0424,1.4,0.3995,14.1143,1
0.0843,-1.37,0.8597,0,0
0.1574,6.31,0.1321,2.8906,0
-0.0751,-1.55,0.3984,0,1
0.3278,-1.63,0.5367,0,0
0.0317,2.11,0.397,12.0853,0
0.2091,6.14,0.3862,3.671,1
0.0465,0.3693,1,22.1771,1
0.2884,5.36,0.1137,11.0093,1
0.0221,5.08,0.2364,13.1417,1
0.1254,5.83,0.7996,25.2882,1
0.0421,2.83,0.9229,5.7809,1
-0.1004,1.51,0.6305,31.3576,1
277.9342,-16.76,0.0157,0,1
0.0322,1.4,0.9527,25.1786,1
0.1885,5.36,0.4692,11.6325,1
0.0774,0.85,0.2944,2.4706,0
0.0779,8.4,0.4494,13.8381,1
0.6267,5.46,0.1135,7.826,1
0.1737,7.81,0.2786,13.9296,1
0.18,1.74,0.4604,48.3276,1
-0.0029,-0.3,0.1119,0,1
0.0298,3.29,0.2537,32.4012,1
0.2499,3.8,0.3471,2.0237,1
0.0541,2.34,0.6806,32.6538,1
0.0016,2.3,0.3991,17.4043,1
