Revenue Growth,EPS,Gross Margin,Profit Margin,Free Cash Flow margin,priceToBookRatio,priceToSalesRatio,priceEarningsRatio,priceToFreeCashFlowsRatio,priceToOperatingCashFlowsRatio,priceCashFlowRatio,priceEarningsToGrowthRatio,priceSalesRatio,returnOnAssets,returnOnEquity,currentRatio,quickRatio,Graham Number,ROE,Gross Profit Growth,Net Income Growth,EPS Growth,Free Cash Flow growth,10Y Revenue Growth (per Share),5Y Revenue Growth (per Share),3Y Revenue Growth (per Share),10Y Operating CF Growth (per Share),5Y Operating CF Growth (per Share),3Y Operating CF Growth (per Share),10Y Net Income Growth (per Share),5Y Net Income Growth (per Share),3Y Net Income Growth (per Share),R&D Expense Growth,Class
0.1115,2.56,1,0.124,0.1268,0,1.6391,13.3008,12.9254,6.3757,6.342493116,13.13643809,1.630604667,0.3033,0.1638,0.792,0.540448502,30.1112,0.1638,0.1115,-0.484,-0.47,0.2462,0.1327,0.1094,0.1107,0.1164,0.1456,0.1044,0.1928,0.1463,0.1579,0,1
0.032,0.66,0.4847,0.105,0.1498,3.916,2.3999,23.303,16.084,6.7309,6.600806187,20.68854295,2.353497285,0.0446,0.0478,0.757,0.632261479,14.9124,0.0478,0.0564,53.8519,65,0.3841,,-0.1402,-0.0104,,-0.1057,-0.0215,,-0.0881,0.8445,0,1
0.1289,4.57,0.6173,0.297,0.2011,5.5853,3.0232,10.2691,15.1845,7.2774,7.261557336,10.15162473,3.01662934,0.3444,0.2824,1.731,1.10501624,41.0587,0.2824,0.1187,1.1928,1.2402,0.3793,0.0876,0.077,0.0959,0.1271,0.0883,0.1675,0.1719,0.1872,0.2377,0.039,1
0.4955,12.27,0.5887,0.465,0.2804,1.9878,2.0135,4.2999,7.1329,3.5168,3.493075862,4.299930669,1.999918397,0.4163,0.4377,2.787,2.134167536,87.745,0.4377,1.1208,1.7776,1.6274,1.4922,0.1331,0.2434,0.2035,0.2762,0.5351,0.4586,0,0.6016,0.6545,0.1738,1
0.0285,-2.62,0.2151,-0.187,0.0058,0,0.5206,0,89.2974,14.9109,14.88942752,,0.519841379,,-0.7216,1.718208414,1.402586988,0,-0.7216,0.7216,-1.5563,-1.5437,-0.8162,-0.0262,0.0455,0.0639,-0.2058,-0.2957,-0.3716,0,0,0,0,1
0.0446,2.64,1,0.293,0.4331,1.2364,2.6502,9.3333,6.295,6.119,6.229351446,8.74636619,2.697995212,,0.1061,0.41173975,0.410798799,39.9933,0.1061,0.0446,0.6065,0.6196,3.0065,-0.0546,0.0175,0.0445,0.1612,-0.1466,0.1298,0.1231,0.2122,0.2239,0,1
0.1586,12.01,0.3834,0.224,0.2414,10.1842,4.1328,18.9226,17.563,14.1753,14.37564249,18.69888799,4.191206539,1.0497,0.5556,1.133,0.994539761,77.6535,0.5556,0.1548,0.2312,0.2956,0.2385,0.2432,0.1523,0.0968,0.2595,0.1353,0.0342,0.2833,0.1601,0.0898,0.2293,1
0.1428,2.15,0.6525,0.15,0.2922,19.7085,6.9626,46.5163,23.8769,17.5097,17.26760619,45.728781,6.866361272,0.1125,0.2003,2.901,2.739861168,22.8233,0.2003,0.1556,-0.3499,-0.3465,0.0279,0.0827,0.0905,0.0779,0.0942,0.1061,0.1624,0.0128,-0.0379,0.1301,0.1296,1
0.0637,0.26,0.5999,0.204,0.2642,0,4.3949,21.9615,16.7094,13.4873,13.49236546,21.57618667,4.396576159,-1.4481,-0.6472,0.171,0.102390296,0,-0.6472,0.0418,0.8149,0.8571,-0.0274,0.0536,0.1622,0.1501,0,0.1893,0.2212,0,0.3417,0.406,0.096,1
0.1233,3.3,0.1825,0.091,0.071,0,0.6533,7.3152,9.3852,8.4363,8.408593087,7.147383049,0.651151141,-3.4457,-8.3365,0.851,0.409016752,0,-8.3365,0.1139,1.1089,1.2,0.2422,-0.0271,-0.0901,0.0847,-0.0713,-0.1412,-0.1021,-0.0017,0.0453,0.0953,0.1798,1
0.0793,0.1122,0.3391,0.0019,0.0539,,0.789,42.959,14.6474,,8.229444998,20.87041344,0.789043425,-0.0467,0.0555,0.0381,0.459950527,,0.0555,0.0637,-0.31,-0.3511,-0.2646,0.0041,0.1232,0.1002,-0.0587,0.9141,0.1357,0.0681,0,1.0948,0,0
0.7237,0.44,0.5017,0.036,0.0263,0,0.5419,15.4318,21.0767,5.7856,5.926132316,15.37273927,0.555111429,0.0186,0.0932,1.133,1.06,6.94,0.0932,0.6484,1.8234,1.3333,1.0757,-0.2117,-0.2811,-0.2329,-0.1697,0,0,0,0,-0.7799,0,1
0.0227,0.93,0.0911,0.023,0.0451,0.8469,0.1898,8.2258,4.2049,2.0258,1.959637759,8.005895681,0.18359764,0.0665,0.1023,1.2,1.622314767,13.7483,0.1023,-0.1098,-0.5244,-0.5206,-0.3449,-0.0439,0.0159,0.0227,0,0.0736,-0.0261,0,-0.2114,-0.2076,0,1
